cell_id,replicate,model,harness_config,scaffold,memory,language,task,status,requirement_coverage,code_quality,cost_per_task,latency_s,tokens,runner,notes,x_raw_model
metaharness-rest-api-crud-python-cheap-mem-none,1,cheap,metaharness,none,none,python,rest-api-crud,pass,1.0,0.8333333333333334,0.006874,103.48918698000489,13750,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-python-cheap-mem-agenticow,1,cheap,metaharness,none,agenticow,python,rest-api-crud,pass,1.0,0.8333333333333334,0.011057,142.1429467179987,14906,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-cheap-mem-none,1,cheap,metaharness,none,none,typescript,rest-api-crud,pass,1.0,0.5666666666666667,0.154612,1045.9352201299916,161740,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-rust-cheap-mem-none,1,cheap,metaharness,none,none,rust,rest-api-crud,pass,0.8462,0.0,0.049214,314.9900361809996,49487,metaharness,req_cov_raw=0.8462,deepseek-v4-pro
metaharness-rest-api-crud-typescript-cheap-mem-agenticow,1,cheap,metaharness,none,agenticow,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.055616,382.98477438600094,42700,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-cheap-mem-none,1,cheap,metaharness,none,none,go,rest-api-crud,pass,1.0,0.9555555555555556,0.094468,327.11965952099126,44223,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-python-cheap-mem-none,2,cheap,metaharness,none,none,python,rest-api-crud,pass,1.0,0.6666666666666666,0.13475,768.8014305319957,105819,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-cheap-mem-none,2,cheap,metaharness,none,none,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.053356,456.5004200310068,47457,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-cheap-mem-agenticow,2,cheap,metaharness,none,agenticow,typescript,rest-api-crud,pass,1.0,0.5666666666666667,0.076031,420.6762784820021,105493,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-python-cheap-mem-agenticow,2,cheap,metaharness,none,agenticow,python,rest-api-crud,pass,1.0,0.8333333333333334,0.049059,195.92034579100437,28252,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-cheap-mem-none,2,cheap,metaharness,none,none,go,rest-api-crud,pass,1.0,0.9555555555555556,0.037315,322.8640926789958,19237,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-cheap-mem-agenticow,3,cheap,metaharness,none,agenticow,go,rest-api-crud,pass,1.0,0.9555555555555556,0.031447,135.08364021799935,16255,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-cheap-mem-agenticow,1,cheap,metaharness,none,agenticow,go,rest-api-crud,fail,0.9,0.9555555555555556,0.090463,511.82023386799847,108904,metaharness,req_cov_raw=0.9,deepseek-v4-pro
metaharness-rest-api-crud-go-cheap-mem-agenticow,2,cheap,metaharness,none,agenticow,go,rest-api-crud,pass,1.0,1.0,0.083377,384.27986337100447,82233,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-cheap-mem-none,3,cheap,metaharness,none,none,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.020306,278.08491782499186,35927,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-rust-cheap-mem-none,3,cheap,metaharness,none,none,rust,rest-api-crud,pass,1.0,0.8333333333333334,0.144157,716.4543524479959,122100,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-cheap-mem-none,3,cheap,metaharness,none,none,go,rest-api-crud,pass,1.0,0.9555555555555556,0.036278,346.30510449400754,35211,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-rust-cheap-mem-agenticow,1,cheap,metaharness,none,agenticow,rust,rest-api-crud,pass,1.0,0.0,0.162985,1017.9717544209998,146504,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-rust-cheap-mem-agenticow,3,cheap,metaharness,none,agenticow,rust,rest-api-crud,fail,0.38461538461538464,0.0,0.127227,1001.6815966659924,165137,metaharness,req_cov_raw=0.38461538461538464,deepseek-v4-pro
metaharness-rest-api-crud-rust-cheap-mem-none,2,cheap,metaharness,none,none,rust,rest-api-crud,pass,0.8333,0.0,0.25043,1109.3813989259943,174884,metaharness,req_cov_raw=0.8333,deepseek-v4-pro
metaharness-rest-api-crud-rust-cheap-mem-agenticow,2,cheap,metaharness,none,agenticow,rust,rest-api-crud,fail,0.6923076923076923,0.0,0.12287,750.452135457992,140093,metaharness,req_cov_raw=0.6923076923076923,deepseek-v4-pro
metaharness-rest-api-crud-python-cheap-mem-none,3,cheap,metaharness,none,none,python,rest-api-crud,pass,1.0,0.7888888888888889,0.044739,381.8598111579922,63991,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-python-cheap-mem-agenticow,3,cheap,metaharness,none,agenticow,python,rest-api-crud,pass,1.0,0.6222222222222222,0.017711,140.5216578249965,21366,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-cheap-mem-agenticow,3,cheap,metaharness,none,agenticow,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.090245,1012.9846156880085,85216,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-mem-none,1,cheap,metaharness,none,none,python,cli-data-pipeline,pass,0.6,0.7888888888888889,0.136363,840.5134851339972,147663,metaharness,req_cov_raw=0.6,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-mem-agenticow,1,cheap,metaharness,none,agenticow,python,cli-data-pipeline,pass,1.1111,0.7888888888888889,0.179528,772.1526419180009,146612,metaharness,req_cov_raw=1.1111,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-mem-agenticow,1,cheap,metaharness,none,agenticow,go,cli-data-pipeline,pass,1.0,1.0,0.116226,569.2917344070011,107156,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-mem-none,1,cheap,metaharness,none,none,rust,cli-data-pipeline,pass,1.0,0.8333333333333334,0.042677,169.5630718859902,15863,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-mem-none,2,cheap,metaharness,none,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.014188,233.2928196129942,20758,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-mem-agenticow,1,cheap,metaharness,none,agenticow,rust,cli-data-pipeline,pass,1.0,0.8333333333333334,0.045292,435.7801798260043,55095,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-mem-none,1,cheap,metaharness,none,none,typescript,cli-data-pipeline,fail,0.0,0.0,0.0,1200.040224602999,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-mem-agenticow,2,cheap,metaharness,none,agenticow,typescript,cli-data-pipeline,fail,0.0,0.7333333333333334,0.0,1200.015829216005,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-mem-none,2,cheap,metaharness,none,none,typescript,cli-data-pipeline,fail,0.0,0.0,0.0,1200.0224751210044,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-mem-agenticow,1,cheap,metaharness,none,agenticow,typescript,cli-data-pipeline,pass,1.0,0.7333333333333334,0.114837,476.5525466609979,125019,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-mem-none,2,cheap,metaharness,none,none,go,cli-data-pipeline,pass,1.0,0.9555555555555556,0.026349,160.3665858059976,12377,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-mem-none,1,cheap,metaharness,none,none,go,cli-data-pipeline,fail,0.9,1.0,0.026229,310.179863420999,29231,metaharness,req_cov_raw=0.9,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-mem-none,2,cheap,metaharness,none,none,rust,cli-data-pipeline,pass,1.0,0.6666666666666666,0.134049,753.0923661730048,141940,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-mem-agenticow,2,cheap,metaharness,none,agenticow,go,cli-data-pipeline,pass,1.0,0.9555555555555556,0.129593,980.913430681001,178889,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-mem-agenticow,2,cheap,metaharness,none,agenticow,python,cli-data-pipeline,pass,0.9090909090909091,0.8333333333333334,0.027472,309.79450698899745,34527,metaharness,req_cov_raw=0.9090909090909091,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-mem-agenticow,3,cheap,metaharness,none,agenticow,go,cli-data-pipeline,pass,1.0,0.9555555555555556,0.018508,152.9438350470009,14361,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-mem-agenticow,2,cheap,metaharness,none,agenticow,rust,cli-data-pipeline,pass,1.0,0.6666666666666666,0.121389,1011.2499318899936,126439,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-mem-none,3,cheap,metaharness,none,none,typescript,cli-data-pipeline,fail,0.0,0.0,0.0,1200.0065080880013,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-mem-none,3,cheap,metaharness,none,none,rust,cli-data-pipeline,pass,0.0,0.0,0.090063,746.2616144380008,138466,metaharness,req_cov_raw=0.0,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-mem-agenticow,3,cheap,metaharness,none,agenticow,rust,cli-data-pipeline,pass,1.0,0.8333333333333334,0.022572,339.1598561449937,26241,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-mem-none,3,cheap,metaharness,none,none,go,cli-data-pipeline,pass,1.0,0.0,0.092893,624.4287560849916,84552,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-mem-none,3,cheap,metaharness,none,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.196401,988.8168810329953,126376,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-mem-agenticow,3,cheap,metaharness,none,agenticow,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.039184,201.15138353600923,40200,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-mem-agenticow,3,cheap,metaharness,none,agenticow,typescript,cli-data-pipeline,pass,1.0,0.7333333333333334,0.036383,227.29748420800024,25768,metaharness,req_cov_raw=1.0,deepseek-v4-pro
