cell_id,replicate,model,harness_config,scaffold,routing,language,task,status,requirement_coverage,code_quality,cost_per_task,latency_s,tokens,escalated,runner,notes,x_raw_model
metaharness-rest-api-crud-python-cheap-route-opus,1,cheap,metaharness,none,opus,python,rest-api-crud,pass,1.0,0.8333333333333334,0.030207,117.8368882490031,18624,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-python-cheap-route-off,1,cheap,metaharness,none,off,python,rest-api-crud,pass,1.0,0.8333333333333334,0.019009,148.98263423699245,23447,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-cheap-route-opus,2,cheap,metaharness,none,opus,go,rest-api-crud,pass,1.0,0.9555555555555556,0.143078,225.2658099419932,31560,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-cheap-route-opus,1,cheap,metaharness,none,opus,go,rest-api-crud,pass,1.0,0.7888888888888889,0.261005,332.24822500099253,63772,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-rust-cheap-route-opus,2,cheap,metaharness,none,opus,rust,rest-api-crud,pass,1.0,0.8333333333333334,0.219072,475.54861964899465,68654,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-cheap-route-off,1,cheap,metaharness,none,off,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.138807,760.6613435159961,142307,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-rust-cheap-route-opus,1,cheap,metaharness,none,opus,rust,rest-api-crud,pass,1.0,0.0,0.792959,496.48248426899954,179246,True,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-cheap-route-opus,1,cheap,metaharness,none,opus,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.024491,215.09101399699284,26125,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-cheap-route-off,1,cheap,metaharness,none,off,go,rest-api-crud,pass,1.0,1.0,0.032197,188.02562765800394,34761,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-rust-cheap-route-off,3,cheap,metaharness,none,off,rust,rest-api-crud,pass,0.8333333333333334,0.0,0.111876,642.6336885400087,144804,False,metaharness,req_cov_raw=0.8333333333333334,deepseek-v4-pro
metaharness-rest-api-crud-python-cheap-route-off,2,cheap,metaharness,none,off,python,rest-api-crud,pass,1.0,0.8333333333333334,0.061332,389.6429858319898,69002,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-cheap-route-off,2,cheap,metaharness,none,off,typescript,rest-api-crud,pass,1.0,0.5666666666666667,0.136584,888.085601949002,116363,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-rust-cheap-route-off,1,cheap,metaharness,none,off,rust,rest-api-crud,fail,0.0,0.0,0.0,1200.0399698489928,0,False,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-rest-api-crud-python-cheap-route-opus,2,cheap,metaharness,none,opus,python,rest-api-crud,pass,1.0,0.8333333333333334,0.034876,129.36681628400402,39560,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-python-cheap-route-off,3,cheap,metaharness,none,off,python,rest-api-crud,pass,1.0,0.8333333333333334,0.003654,39.67181519299629,7886,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-cheap-route-opus,2,cheap,metaharness,none,opus,typescript,rest-api-crud,pass,1.0,0.5666666666666667,0.412289,567.1871541780129,127006,True,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-cheap-route-off,2,cheap,metaharness,none,off,go,rest-api-crud,pass,1.0,0.9555555555555556,0.015902,82.07361975099775,16325,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-cheap-route-off,3,cheap,metaharness,none,off,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.026406,243.02551764099917,25465,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-cheap-route-opus,3,cheap,metaharness,none,opus,typescript,rest-api-crud,pass,1.0,0.0,0.034399,334.98831099501695,39706,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-cheap-route-off,3,cheap,metaharness,none,off,go,rest-api-crud,pass,1.0,0.7888888888888889,0.081456,358.86905144900084,110344,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-rust-cheap-route-off,2,cheap,metaharness,none,off,rust,rest-api-crud,fail,0.1667,0.0,0.162028,821.8031800410099,140490,False,metaharness,req_cov_raw=0.1667,deepseek-v4-pro
metaharness-rest-api-crud-python-cheap-route-opus,3,cheap,metaharness,none,opus,python,rest-api-crud,pass,1.0,0.8333333333333334,0.142281,144.426490302023,37516,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-go-cheap-route-opus,3,cheap,metaharness,none,opus,go,rest-api-crud,pass,1.0,1.0,0.312534,263.37999939301517,90940,True,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-rust-cheap-route-opus,3,cheap,metaharness,none,opus,rust,rest-api-crud,fail,0.3333333333333333,0.0,0.78014,468.9766204529733,179152,True,metaharness,req_cov_raw=0.3333333333333333,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-route-opus,1,cheap,metaharness,none,opus,python,cli-data-pipeline,fail,0.9090909090909091,0.6222222222222222,0.059423,305.69547462899936,22906,False,metaharness,req_cov_raw=0.9090909090909091,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-route-opus,2,cheap,metaharness,none,opus,go,cli-data-pipeline,pass,1.0,0.9555555555555556,0.035564,458.8293788500014,11891,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-route-off,1,cheap,metaharness,none,off,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.11918,739.6081140039896,102017,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-route-opus,1,cheap,metaharness,none,opus,go,cli-data-pipeline,pass,1.0,0.9555555555555556,0.755714,277.0658710350108,102222,True,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-route-opus,2,cheap,metaharness,none,opus,rust,cli-data-pipeline,fail,0.75,0.0,0.05607,722.4305903990025,79384,False,metaharness,req_cov_raw=0.75,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-route-off,1,cheap,metaharness,none,off,typescript,cli-data-pipeline,pass,1.0,0.7333333333333334,0.145091,1154.5589869899995,150480,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-route-opus,1,cheap,metaharness,none,opus,rust,cli-data-pipeline,pass,1.0,0.8333333333333334,0.275646,441.90499063600146,79455,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-route-off,2,cheap,metaharness,none,off,python,cli-data-pipeline,pass,0.0,0.7888888888888889,0.008947,133.7988087489939,14661,False,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-route-opus,1,cheap,metaharness,none,opus,typescript,cli-data-pipeline,pass,0.3077,0.0,0.884089,402.2188756530086,182095,True,metaharness,req_cov_raw=0.3077,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-route-off,3,cheap,metaharness,none,off,rust,cli-data-pipeline,pass,1.0,0.8333333333333334,0.114952,1000.3038950259943,161888,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-route-off,1,cheap,metaharness,none,off,go,cli-data-pipeline,pass,1.0,0.0,0.085557,374.3987564699928,62292,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-route-off,2,cheap,metaharness,none,off,typescript,cli-data-pipeline,fail,0.5,0.5666666666666667,0.117929,889.362567684002,156754,False,metaharness,req_cov_raw=0.5,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-route-off,1,cheap,metaharness,none,off,rust,cli-data-pipeline,pass,0.18,0.0,0.071496,311.22967434600287,49909,False,metaharness,req_cov_raw=0.18,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-route-opus,2,cheap,metaharness,none,opus,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.036632,166.1407534089958,43590,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-route-opus,2,cheap,metaharness,none,opus,typescript,cli-data-pipeline,pass,1.0,0.0,0.468675,417.68735005501367,118965,True,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-route-off,2,cheap,metaharness,none,off,go,cli-data-pipeline,pass,1.0,0.9555555555555556,0.032586,613.6095852860017,16799,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-route-off,3,cheap,metaharness,none,off,python,cli-data-pipeline,fail,0.8889,0.8333333333333334,0.150887,1059.971888998014,156356,False,metaharness,req_cov_raw=0.8889,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-route-off,2,cheap,metaharness,none,off,rust,cli-data-pipeline,fail,0.8182,0.6666666666666666,0.153521,897.2930889450072,157268,False,metaharness,req_cov_raw=0.8182,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-route-opus,3,cheap,metaharness,none,opus,python,cli-data-pipeline,pass,0.9545,0.7888888888888889,0.267153,245.20411082499777,68078,False,metaharness,req_cov_raw=0.9545,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-route-off,3,cheap,metaharness,none,off,typescript,cli-data-pipeline,fail,0.8333,0.0,0.193791,1337.2420369000174,143445,False,metaharness,req_cov_raw=0.8333,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-route-opus,3,cheap,metaharness,none,opus,typescript,cli-data-pipeline,pass,1.0,0.0,0.0362,362.97207065299153,55374,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-route-off,3,cheap,metaharness,none,off,go,cli-data-pipeline,pass,1.0,1.0,0.034208,142.332492578018,14337,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-route-opus,3,cheap,metaharness,none,opus,go,cli-data-pipeline,pass,1.0,1.0,0.045152,282.25666533000185,28959,False,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-route-opus,3,cheap,metaharness,none,opus,rust,cli-data-pipeline,pass,1.0,0.6666666666666666,0.593343,403.0906256220187,124280,True,metaharness,req_cov_raw=1.0,deepseek-v4-pro
